"","date","st","zv","zg","lmo","wind","swr"
"34129",2014-07-17 22:00:00,817.053330754949,11.0376093314898,8.7193939887354,4706.49081081809,3.08,0.079
"34130",2014-07-17 23:00:00,813.009212636465,11.0376093314898,8.71207343477049,5185.95727639593,3.07,0.071
"34131",2014-07-18,808.681335662835,11.0376093314898,8.67933557085937,3071.09464101877,3.01,0.113
"34132",2014-07-18 01:00:00,809.787470649131,11.0376093314898,8.75811015020712,3623.71202768355,2.97,0.092
"34133",2014-07-18 02:00:00,805.808415607667,11.0376093314898,8.73570905322319,2683.16599938196,2.79,0.103
"34134",2014-07-18 03:00:00,800.972523823087,11.0376093314898,8.69409357714849,4713.58661903619,3.17,0.086
"34135",2014-07-18 04:00:00,801.048775637419,11.0376093314898,8.74248796331411,58.8747536112088,3.36,8.199
"34136",2014-07-18 05:00:00,799.893481303316,11.0376093314898,8.76049214249293,6.89781070432814,3.59,85.358
"34137",2014-07-18 06:00:00,799.78600129669,11.0376093314898,8.76689954879707,1.93049664089076,3.29,234.742
"34138",2014-07-18 07:00:00,801.547286251051,11.0376093314898,8.75626219419284,1.27436366621783,3.47,417.222
"34139",2014-07-18 08:00:00,804.012509176094,11.0376093314898,8.72414463243674,0.737658730385671,3.21,570.6
"34140",2014-07-18 09:00:00,811.712038412141,11.0376093314898,8.63058811043939,1.25396576605307,4.1,699.42
"34141",2014-07-18 10:00:00,820.795495516656,11.0376093314898,8.63986662243901,1.98807738217844,4.61,627.107
"34142",2014-07-18 11:00:00,822.762326091308,11.0376093314898,8.72810657538656,4.57483200389386,5.1,368.984
"34143",2014-07-18 12:00:00,825.894564754029,11.0376093314898,8.68974641119621,2.78604558531556,5.2,642.235
"34144",2014-07-18 13:00:00,829.960768897269,11.0376093314898,8.72304298917714,3.80901181863842,5,417.609
"34145",2014-07-18 14:00:00,832.789460651443,11.0376093314898,8.71897555747903,5.18600720352196,5.67,447.289
"34146",2014-07-18 15:00:00,832.339788095813,11.0376093314898,8.69832170252126,5.66713147527099,5.12,301.383
"34147",2014-07-18 16:00:00,832.382534521422,11.0376093314898,8.72290773100605,5.77753625385155,4.94,265.528
"34148",2014-07-18 17:00:00,830.841207923556,11.0376093314898,8.69375609279077,5.40210624553911,4,150.761
"34149",2014-07-18 18:00:00,829.860471666949,11.0376093314898,8.7006718935784,7.34977750440077,3.59,80.109
"34150",2014-07-18 19:00:00,826.53051931498,11.0376093314898,8.69769118225728,38.4393924563623,3.3,11.897
"34151",2014-07-18 20:00:00,825.227979842926,11.0376093314898,8.67898873958072,7941.66172751064,3.21,0.053
"34152",2014-07-18 21:00:00,824.186159081392,11.0376093314898,8.73891528270837,15128.453996642,3.53,0.037
"34153",2014-07-18 22:00:00,822.927905714221,11.0376093314898,8.72602388960783,Inf,4.21,0
"34154",2014-07-18 23:00:00,818.497379188679,11.0376093314898,8.72013343370035,Inf,4.86,0
"34155",2014-07-19,816.496864569884,11.0376093314898,8.72810918573489,390554.217266934,4.97,0.004
"34156",2014-07-19 01:00:00,815.785312227351,11.0376093314898,8.74311715071757,41609.2796388508,4.99,0.038
"34157",2014-07-19 02:00:00,813.581594122447,11.0376093314898,8.76474156909657,26751.7613704121,4.59,0.046
"34158",2014-07-19 03:00:00,809.416085931511,11.0376093314898,8.79410912124718,Inf,4.89,0
"34159",2014-07-19 04:00:00,807.390392198638,11.0376093314898,8.77036091904906,186.812673606749,5.29,10.084
"34160",2014-07-19 05:00:00,807.109516271621,11.0376093314898,8.76883436370359,41.3044058666535,4.83,34.715
"34161",2014-07-19 06:00:00,805.356097405287,11.0376093314898,8.79021681017413,24.0089742358784,5.19,74.097
"34162",2014-07-19 07:00:00,804.915558838261,11.0376093314898,8.82916472588761,18.7967352423608,5.71,126.037
"34163",2014-07-19 08:00:00,808.232173599868,11.0376093314898,8.78406348877687,6.06972744607447,5.98,448.339
"34164",2014-07-19 09:00:00,809.709614004824,11.0376093314898,8.75311306151857,6.10284778236731,6.42,551.753
"34165",2014-07-19 10:00:00,816.324479599696,11.0376093314898,8.80212276017261,6.53143886210444,6.97,659.723
"34166",2014-07-19 11:00:00,821.373245384405,11.0376093314898,8.82732939656145,9.81381788786002,7.8,615.344
"34167",2014-07-19 12:00:00,824.612329346045,11.0376093314898,8.80985543775333,9.99136002693656,7.67,574.69
"34168",2014-07-19 13:00:00,829.186710997875,11.0376093314898,8.80070558091948,12.0776171777514,7.09,375.517
"34169",2014-07-19 14:00:00,828.695357235029,11.0376093314898,8.75045187996675,10.2947563433043,6.48,336.342
"34170",2014-07-19 15:00:00,831.159489282041,11.0376093314898,8.70743496607016,8.91624607612241,6.69,427.335
"34171",2014-07-19 16:00:00,825.763409478677,11.0376093314898,8.64587966399858,12.8583763020042,6.29,246.285
"34172",2014-07-19 17:00:00,824.211101510737,11.0376093314898,8.64302698356604,17.7279619054413,5.85,143.708
"34173",2014-07-19 18:00:00,826.406962723199,11.0376093314898,8.67596623326324,21.651679119077,4.83,66.225
"34174",2014-07-19 19:00:00,826.658158884006,11.0376093314898,8.67806217387573,256.366674643705,5.01,6.242
"34175",2014-07-19 20:00:00,826.2032560138,11.0376093314898,8.73052984339377,Inf,4.98,0
"34176",2014-07-19 21:00:00,826.637750324918,11.0376093314898,8.78089959535272,70366.4875886736,4.8,0.02
"34177",2014-07-19 22:00:00,822.521163130193,11.0376093314898,8.74606260044063,114460.432326166,4.89,0.013
"34178",2014-07-19 23:00:00,816.64941472586,11.0376093314898,8.71539002694254,Inf,5.62,0
"34179",2014-07-20,818.372770569233,11.0376093314898,8.76773643703016,Inf,6.21,0
"34180",2014-07-20 01:00:00,816.94020265034,11.0376093314898,8.73635713259031,103453.43037472,5.8,0.024
"34181",2014-07-20 02:00:00,816.624663567378,11.0376093314898,8.77202620744423,607966.45276614,5.76,0.004
"34182",2014-07-20 03:00:00,814.607198150717,11.0376093314898,8.73123986526955,88066.649840855,4.9,0.017
"34183",2014-07-20 04:00:00,812.622137617006,11.0376093314898,8.78043399353053,270.582513126156,4.71,4.914
"34184",2014-07-20 05:00:00,809.022380698532,11.0376093314898,8.79527942068092,25.4664966790384,4.46,44.331
"34185",2014-07-20 06:00:00,809.459126797483,11.0376093314898,8.80930967732836,14.110305734339,4.76,97.265
"34186",2014-07-20 07:00:00,812.790410496379,11.0376093314898,8.87783960768072,9.196523272327,5.02,175.049
"34187",2014-07-20 08:00:00,816.206844294822,11.0376093314898,8.90706339019264,4.08046195356401,5.05,401.64
"34188",2014-07-20 09:00:00,822.145784187909,11.0376093314898,8.85356513658843,3.17293428262077,5.45,649.233
"34189",2014-07-20 10:00:00,829.867140511705,11.0376093314898,8.80961325350308,6.77454886427996,6.07,420.105
"34190",2014-07-20 11:00:00,835.713331957088,11.0376093314898,8.75637659186784,5.78081920733399,6.27,542.607
"34191",2014-07-20 12:00:00,838.137762750513,11.0376093314898,8.7072473400416,8.71650465831327,6.85,469.247
"34192",2014-07-20 13:00:00,844.63866627304,11.0376093314898,8.81427431003142,7.31195825106888,7.08,617.644
"34193",2014-07-20 14:00:00,851.265137866264,11.0376093314898,8.79670187810206,8.19665864185933,7.09,553.317
"34194",2014-07-20 15:00:00,855.935037947867,11.0376093314898,8.83481344200227,9.01698870858383,6.84,451.626
"34195",2014-07-20 16:00:00,858.835632969958,11.0376093314898,8.83771661788332,11.0705132255171,6.88,374.343
"34196",2014-07-20 17:00:00,853.394217357048,11.0376093314898,8.74232921345527,13.1967477702972,6.38,250.419
"34197",2014-07-20 18:00:00,857.520219907697,11.0376093314898,8.63637417310252,22.1680492080356,5.22,81.65
"34198",2014-07-20 19:00:00,859.638224520191,11.0376093314898,8.67565490356366,70.4569511461445,4.15,12.909
"34199",2014-07-20 20:00:00,857.605484638136,11.0376093314898,8.70469604059078,34441.399185083,4.47,0.033
"34200",2014-07-20 21:00:00,856.648700802331,11.0376093314898,8.73338014857706,Inf,5.25,0
"34201",2014-07-20 22:00:00,858.147339321688,11.0376093314898,8.87660246674487,Inf,5.42,0
"34202",2014-07-20 23:00:00,855.591166900354,11.0376093314898,8.90296540127976,224379.445796277,6.12,0.013
"34203",2014-07-21,850.92961471706,11.0376093314898,8.81606361334486,230148.196261651,5.46,0.009
"34204",2014-07-21 01:00:00,849.666286241381,11.0376093314898,8.76200621167146,44051.3928876514,5.13,0.039
"34205",2014-07-21 02:00:00,850.068355446114,11.0376093314898,8.78684744360419,Inf,3.92,0
"34206",2014-07-21 03:00:00,851.050458367946,11.0376093314898,8.83148000505308,Inf,4.13,0
"34207",2014-07-21 04:00:00,846.647255420295,11.0376093314898,8.77761346319243,122.617726231507,3.03,2.887
"34208",2014-07-21 05:00:00,849.154521464682,11.0376093314898,8.94212757459246,9.88225366252647,3.1,38.362
"34209",2014-07-21 06:00:00,851.108794414778,11.0376093314898,8.84538883818788,4.06696060378619,3.3,112.446
"34210",2014-07-21 07:00:00,856.483849583875,11.0376093314898,8.89908691889642,1.52948966344638,3.4,327.011
"34211",2014-07-21 08:00:00,863.089403625703,11.0376093314898,8.96039945887241,1.66322742809389,4.04,504.504
"34212",2014-07-21 09:00:00,877.03611060725,11.0376093314898,8.83344792922449,0.32288287011399,2.54,645.845
"34213",2014-07-21 10:00:00,890.891217812116,11.0376093314898,8.71316977810929,0.292296860080588,2.57,739.005
"34214",2014-07-21 11:00:00,907.372007511831,11.0376093314898,8.8358798467589,0.664257391880209,3.5,821.372
"34215",2014-07-21 12:00:00,917.707537957397,11.0376093314898,9.01959660448422,0.369991282110843,2.78,738.95
"34216",2014-07-21 13:00:00,924.35966385136,11.0376093314898,8.93756824766259,1.07337926171165,3.88,692.491
"34217",2014-07-21 14:00:00,934.852892197275,11.0376093314898,8.81998250661228,3.02762364247818,4.7,436.379
"34218",2014-07-21 15:00:00,941.362611896696,11.0376093314898,8.79194363982084,1.72425955684924,4.2,546.786
"34219",2014-07-21 16:00:00,947.103106796105,11.0376093314898,8.72200471727576,4.10278175993451,4.38,260.625
"34220",2014-07-21 17:00:00,951.834976524192,11.0376093314898,8.76102076493729,9.20362186188394,4.78,151.007
"34221",2014-07-21 18:00:00,949.612676555159,11.0376093314898,8.9102458859913,8.08755733167236,3.84,89.094
"34222",2014-07-21 19:00:00,944.631580789744,11.0376093314898,8.94690876955246,59.4570670706576,3.62,10.153
"34223",2014-07-21 20:00:00,940.438180294438,11.0376093314898,8.91916070809185,Inf,3.42,0
"34224",2014-07-21 21:00:00,943.414609875646,11.0376093314898,8.94371179798619,Inf,4,0
"34225",2014-07-21 22:00:00,943.932527221638,11.0376093314898,8.9224567085394,Inf,5.61,0
"34226",2014-07-21 23:00:00,935.188905030524,11.0376093314898,8.77433722998596,Inf,5.97,0
"34227",2014-07-22,929.321118493258,11.0376093314898,8.89406885105429,Inf,6.16,0
