lake,Datetime,St,mean_rho,Zg,Zv,mean_depth,lake_area,surface_temp,bottom_temp,therm_dep,max_depth
BM,1989-07-25,217.297612072111,999.445047699155,12.7377746505016,12.7348099720178,7.5,3601324.31758529,25.2,7.7,7.53194429919415,18.2
BM,1989-08-10,193.22621845995,999.48132487929,12.9951744800115,12.9926562146062,7.5,3601324.31758529,21.8,7.9,8.74065036252533,18.2
BM,1989-08-22,186.564520536243,999.513439821187,12.995087581768,12.9926562146062,7.5,3601324.31758529,20.5,7.2,9.50070229361744,18.2
BM,1989-09-07,174.881959082939,999.444429782267,12.7371959582093,12.7348099720178,7.5,3601324.31758529,20.2,7.8,9.8158071850573,18.2
BM,1989-09-20,154.740832342821,999.456522425396,12.9946729603575,12.9926562146062,7.5,3601324.31758529,18,8.1,11.4960987918541,18.2
BM,1989-10-03,68.1001797023248,999.557605237534,12.9935436782256,12.9926562146062,7.5,3601324.31758529,13.7,8.2,14.5388363633582,18.2
BM,1989-10-17,NA,999.672998113635,12.9926562146062,12.9926562146062,7.5,3601324.31758529,10.6,10.6,NA,18.2
BM,1989-11-01,1.68239020574365,999.795666208674,12.9926781338522,12.9926562146062,7.5,3601324.31758529,9.3,9,14.106792841382,18.2
BM,1989-11-14,0.239826696031675,999.985036551705,12.9926593386287,12.9926562146062,7.5,3601324.31758529,5.4,5.3,15.5,18.2
BM,1990-01-23,1.40007996393882,999.997088459129,12.7348290633254,12.7348099720178,7.5,3601324.31758529,1,4.6,2.95679417879911,18.2
BM,1990-02-20,0.404281918014313,999.997009315484,12.9926614807868,12.9926562146062,7.5,3601324.31758529,1,5,1.98803267841503,18.2
BM,1990-03-29,-0.249764708999415,999.998812779488,12.7348065662648,12.7348099720178,7.5,3601324.31758529,1.9,4.7,0.57930051020867,18.2
BM,1990-05-01,25.2724711530113,999.869252178004,12.7351546281932,12.7348099720178,7.5,3601324.31758529,10,6.6,11.5750561114744,18.2
BM,1990-05-14,31.2902706201292,999.794120018745,12.9930638847153,12.9926562146062,7.5,3601324.31758529,11.8,7.9,9.49500958513678,18.2
BM,1990-05-31,66.3578831639162,999.685439112868,12.9935208624955,12.9926562146062,7.5,3601324.31758529,16.2,8.6,7.539310416502,18.2
BM,1990-06-13,90.397664743986,999.566005411515,12.9938342432825,12.9926562146062,7.5,3601324.31758529,17,9.5,8.85659862479987,18.2
BM,1990-06-26,136.717338426357,999.436546722103,12.9944380947868,12.9926562146062,7.5,3601324.31758529,19.8,9.8,8.74513985611382,18.2
BM,1990-07-09,169.348700504561,999.353351193103,12.9948635733638,12.9926562146062,7.5,3601324.31758529,20.9,10,9.30040082392107,18.2
BM,1990-07-26,210.948263442577,999.256696801445,12.9954060646778,12.9926562146062,7.5,3601324.31758529,22.5,9.9,9.54434540575032,18.2
BM,1990-08-06,207.127932977754,999.252410002396,12.9953562757278,12.9926562146062,7.5,3601324.31758529,21.6,9.7,10.2761430967766,18.2
